"id","date","distance_previous","longitude","latitude"
"Athena",2023-06-09,226.799777737262,144.434682307262,-37.9003510389279
"Athena",2023-06-10,62.2910530391125,144.434933471978,-37.9008756366147
"Athena",2023-06-11,9.12601771691148,144.435037021008,-37.9008806163301
"Athena",2023-06-12,146.163818549977,144.435576218892,-37.8996353150495
"Athena",2023-06-13,37.9718642700502,144.435972947228,-37.8997700619175
"Athena",2023-06-14,33.9703806910853,144.43568634944,-37.8999751300308
"Athena",2023-06-15,49.6039909582776,144.435627074535,-37.9004194579661
"Athena",2023-06-16,185.823927986432,144.436461449967,-37.898881780334
"Athena",2023-06-17,80.1472741378077,144.436835779592,-37.8995399480709
"Athena",2023-06-18,46.449928115201,144.436449787685,-37.8992544614147
"Athena",2023-06-19,124.136099148587,144.435420814919,-37.9000196025656
"Athena",2023-06-20,124.140928235126,144.434062112984,-37.9003216278645
"Athena",2023-06-21,125.795429496767,144.435219413411,-37.8996560960048
"Athena",2023-06-22,16.4485164284988,144.435061772431,-37.8995764261775
"Athena",2023-06-23,6.63862300274607,144.435034341188,-37.899632132379
"Athena",2023-06-24,119.973661890616,144.43443865987,-37.9006042488245
"Athena",2023-06-25,118.377501348451,144.435152423326,-37.8997003359843
"Athena",2023-06-26,39.6051042181781,144.435594870851,-37.8997662633048
"Athena",2023-06-27,95.6138511209504,144.436042924308,-37.9005509117732
"Athena",2023-06-28,42.9522816844738,144.43557215402,-37.9004483013545
"Athena",2023-06-29,48.6316252356499,144.436052876631,-37.9002320076232
"Athena",2023-06-30,3.212680629191,144.436047738131,-37.9002606576771
"Athena",2023-07-01,16.8861526015845,144.436183223947,-37.9001529133889
"Athena",2023-07-02,693.90023044936,144.441269302417,-37.9049304009071
"Athena",2023-07-03,668.63365638292,144.435978642106,-37.9006062262285
"Athena",2023-07-04,46.1298223416813,144.436301282546,-37.9009337759216
"Athena",2023-07-05,83.4127361186766,144.436122279495,-37.9001959530294
"Athena",2023-07-06,122.881718827722,144.437372643563,-37.8997025383028
"Athena",2023-07-07,8.74839045988993,144.437370533038,-37.8997813209756
"Athena",2023-07-08,6.63597231124487,144.437297587569,-37.8997965446165
"Athena",2023-07-09,7.20855148927856,144.437244643024,-37.8998461016384
"Athena",2023-07-10,16.635313107933,144.437078515469,-37.8999176808711
"Athena",2023-07-11,39.2919029780897,144.437376785642,-37.8996542463855
"Athena",2023-07-12,5.5907248906599,144.437380684815,-37.8997045095164
"Athena",2023-07-13,4.39330051861972,144.437350802831,-37.8996728030805
"Athena",2023-07-14,187.03528243151,144.435224782304,-37.8996601108046
"Athena",2023-07-15,142.249865891372,144.434369661466,-37.9007475873678
"Athena",2023-07-16,251.183661355314,144.437025539606,-37.8999168836984
"Athena",2023-07-17,124.378980094801,144.437319465946,-37.898821027297
"Athena",2023-07-18,320.14884035405,144.434581880684,-37.9007210602053
"Athena",2023-07-19,37.629345644666,144.434452179722,-37.9010440460656
"Athena",2023-07-20,198.590812427826,144.436499268581,-37.9002899950471
"Athena",2023-07-21,75.9854947565761,144.4371590045,-37.89984822723
"Athena",2023-07-22,28.5837945942899,144.437476418466,-37.8997932039751
"Athena",2023-07-23,13.923813089914,144.437339654817,-37.8998563330158
"Athena",2023-07-24,29.7032285572194,144.437167528106,-37.8996261598845
"Athena",2023-07-25,24.8512650709226,144.437263808561,-37.8998366031747
"Athena",2023-07-26,44.5138956538124,144.437746597853,-37.8997165526051
"Athena",2023-07-27,42.078566070536,144.437276270994,-37.899785550518
"Athena",2023-07-28,3.06651015296805,144.4372699446,-37.8998127131418
"Athena",2023-07-29,6.2715691587004,144.437247536364,-37.8998663406538
"Athena",2023-07-30,22.855717318223,144.43742139934,-37.8997133612845
"Athena",2023-07-31,36.6713852437534,144.437510055801,-37.9000361189144
"Athena",2023-08-01,7.40794537927106,144.437426994706,-37.9000470970437
"Athena",2023-08-02,21.1568873294358,144.437280331715,-37.9001981289064
"Aurora",2022-10-25,41.0257015646611,144.434617309461,-37.9026605989465
"Aurora",2022-10-26,29.6585676308999,144.434282110779,-37.902689302508
"Aurora",2022-10-27,360.741615085372,144.436133702946,-37.8997900487549
"Aurora",2022-10-28,423.611437285872,144.433584849064,-37.9030273438113
"Aurora",2022-10-29,608.075416504284,144.437263575173,-37.8983902698684
"Aurora",2022-10-30,588.084564220399,144.433670533631,-37.9028572119666
"Aurora",2022-10-31,102.28720041149,144.43268239262,-37.9023715912579
"Aurora",2022-11-01,48.0527005997171,144.433177005049,-37.9025552863661
"Aurora",2022-11-02,214.981356213903,144.435605817463,-37.902340862244
"Aurora",2022-11-03,40.5968758584826,144.435284696113,-37.9026034901994
"Aurora",2022-11-04,40.5234009788183,144.435731927438,-37.9026909769347
"Aurora",2022-11-05,13.7883886103093,144.435575449787,-37.9026981971006
"Aurora",2022-11-06,10.9175711144822,144.435455371137,-37.9026733425533
"Aurora",2022-11-07,24.9175988318127,144.43519324113,-37.9027583963357
"Aurora",2022-11-08,26.3776665425598,144.435476835087,-37.9026812184859
"Aurora",2022-11-09,6.5903166692098,144.435512916111,-37.9026291948987
"Aurora",2022-11-10,49.8568686753144,144.435129240725,-37.902298664539
"Aurora",2022-11-11,15.2187807747829,144.435046711579,-37.9021781860559
"Aurora",2022-11-12,55.8168882071344,144.435415024937,-37.9025875786426
"Aurora",2022-11-13,50.1333508686602,144.435137474028,-37.9021931794427
"Aurora",2022-11-14,4.3395552068437,144.435139668072,-37.9021541299867
"Aurora",2022-11-15,22.279106585594,144.435075172128,-37.9023481906707
