"npoints","id","date","distance_previous","longitude","latitude"
73,"Aurora",2022-10-26,45.3642257286783,144.434687366219,-37.9026630875187
81,"Aurora",2022-10-27,34.7993286443015,144.434296974033,-37.9027137296505
79,"Aurora",2022-10-28,365.628947489648,144.436069150453,-37.8997347387378
79,"Aurora",2022-10-29,426.067093913664,144.433557631124,-37.9030161991102
78,"Aurora",2022-10-30,613.656252351602,144.437300462945,-37.8983517679721
80,"Aurora",2022-10-31,596.106173807234,144.43363132447,-37.9028658879609
85,"Aurora",2022-11-01,67.4657359662311,144.433014990479,-37.902504238533
89,"Aurora",2022-11-02,27.5357044329336,144.433259770411,-37.9026588270946
89,"Aurora",2022-11-03,192.062387516268,144.435402345492,-37.902326220387
90,"Aurora",2022-11-04,58.2423245642469,144.434921266871,-37.9026866522704
94,"Aurora",2022-11-05,64.5412217241644,144.435653360504,-37.9026483584948
96,"Aurora",2022-11-06,7.62465428203056,144.435574849566,-37.9026774566837
92,"Aurora",2022-11-07,8.90998011790388,144.435504913328,-37.9026194036154
90,"Aurora",2022-11-08,37.5439976507847,144.435106743871,-37.9027411571405
96,"Aurora",2022-11-09,32.4840513394768,144.435469150576,-37.9026850064844
92,"Aurora",2022-11-10,2.58050787534621,144.435477712943,-37.9026627749978
83,"Aurora",2022-11-11,51.4500901123979,144.435147572699,-37.902280233053
83,"Aurora",2022-11-12,16.2662074250385,144.43504223164,-37.9021598174254
84,"Aurora",2022-11-13,52.8340629309208,144.435381752774,-37.9025523777816
78,"Aurora",2022-11-14,44.3826147786922,144.435128823429,-37.9022064698826
86,"Aurora",2022-11-15,4.41619606045157,144.435084144054,-37.9022246076529
95,"Aurora",2022-11-16,18.1908108765233,144.435025346027,-37.9023816963885
95,"Aurora",2022-11-17,23.5175521384787,144.435161068782,-37.9021991931848
89,"Aurora",2022-11-18,22.617999073253,144.434984357449,-37.9023471791958
89,"Aurora",2022-11-19,84.3720653101319,144.434824568288,-37.9030965315591
92,"Aurora",2022-11-20,36.6797519213607,144.435152800206,-37.9028927764262
93,"Aurora",2022-11-21,6.20047024926511,144.435177546483,-37.9028404814662
92,"Aurora",2022-11-22,51.1849688178061,144.435003197548,-37.9032803412039
91,"Aurora",2022-11-23,6.81591262423436,144.434945075124,-37.903239742884
90,"Aurora",2022-11-24,5.11817541803746,144.434931776258,-37.9032846239166
93,"Aurora",2022-11-25,50.4466811326009,144.435153427746,-37.9028655435786
91,"Aurora",2022-11-26,41.9793883507209,144.43492411527,-37.9031971523634
94,"Aurora",2022-11-27,61.1174709903395,144.434287862584,-37.9029760158348
84,"Aurora",2022-11-28,36.0400140873006,144.434453706833,-37.9026791753737
89,"Aurora",2022-11-29,27.4848124297278,144.434764563461,-37.9026542848715
88,"Aurora",2022-11-30,47.2106149567068,144.434839248455,-37.9030753921799
84,"Aurora",2022-12-01,45.487458872382,144.434400831141,-37.9028581439411
95,"Aurora",2022-12-02,3.30945745192357,144.434409854305,-37.902887083461
89,"Aurora",2022-12-03,7.06104819407872,144.434427497007,-37.9029491298267
