"id","date","dist_release"
"Nutmeg",2022-11-30,1331.12255311282
"Aurora",2022-12-01,54.6476414584249
"Briar",2022-12-01,1315.47311977189
"Robin",2022-12-01,1320.19375792353
"Nutmeg",2022-12-01,1322.05990272493
"Aurora",2022-12-02,55.1284714931773
"Briar",2022-12-02,1311.44402104566
"Robin",2022-12-02,1308.23406995933
"Nutmeg",2022-12-02,1308.33251765566
"Aurora",2022-12-03,65.9276221278177
"Briar",2022-12-03,1310.89876177921
"Robin",2022-12-03,1315.13448351533
"Nutmeg",2022-12-03,1310.44607633752
"Aurora",2022-12-04,57.5471243346935
"Briar",2022-12-04,1313.60095274973
"Robin",2022-12-04,1309.36134530886
"Nutmeg",2022-12-04,1323.16951352683
"Aurora",2022-12-05,803.407295602339
"Briar",2022-12-05,1322.80768130152
"Robin",2022-12-05,1320.16333033227
"Nutmeg",2022-12-05,1322.88507605853
"Aurora",2022-12-06,59.8714392078568
"Briar",2022-12-06,1317.86270000656
"Robin",2022-12-06,1313.35885993792
"Nutmeg",2022-12-06,1320.50946912457
"Aurora",2022-12-07,60.2430536095717
"Briar",2022-12-07,1318.78192541476
"Robin",2022-12-07,1313.62326704939
"Nutmeg",2022-12-07,1322.28577035542
"Aurora",2022-12-08,61.7665345924923
"Briar",2022-12-08,1312.66298039935
"Robin",2022-12-08,1322.90276947714
"Nutmeg",2022-12-08,1317.19871001416
"Aurora",2022-12-09,61.9777010758888
"Briar",2022-12-09,1311.22863048144
"Robin",2022-12-09,1303.94647685756
"Nutmeg",2022-12-09,1317.15136498398
"Aurora",2022-12-10,243.404594272776
"Briar",2022-12-10,1312.89130727503
"Robin",2022-12-10,1304.20782941696
"Nutmeg",2022-12-10,1309.65925220399
"Aurora",2022-12-11,244.905447021586
"Briar",2022-12-11,1279.86811107987
"Robin",2022-12-11,1291.74016583101
"Nutmeg",2022-12-11,1282.34133605485
"Aurora",2022-12-12,220.542388127582
"Briar",2022-12-12,1259.68454331303
"Robin",2022-12-12,1290.03138759888
"Nutmeg",2022-12-12,1247.2841242342
"Aurora",2022-12-13,252.062153485947
"Briar",2022-12-13,1263.17677657968
"Robin",2022-12-13,1264.84750378891
"Nutmeg",2022-12-13,1262.7547942593
"Aurora",2022-12-14,236.061293370786
"Briar",2022-12-14,1294.52350313535
"Robin",2022-12-14,1284.86472861466
"Nutmeg",2022-12-14,1282.29681024053
"Aurora",2022-12-15,380.702970028356
"Briar",2022-12-15,1296.43026515142
"Iona",2022-12-15,569.554372619874
"Koda",2022-12-15,386.544911953784
"Robin",2022-12-15,1287.561206263
"Sage",2022-12-15,321.464435551933
"Nutmeg",2022-12-15,1298.4176165656
"Aurora",2022-12-16,367.426327009137
"Briar",2022-12-16,1299.34459318
"Iona",2022-12-16,156.203733639173
"Koda",2022-12-16,360.371630409859
"Robin",2022-12-16,1289.62182135365
"Sage",2022-12-16,370.449395514576
"Nutmeg",2022-12-16,1298.06406982443
"Aurora",2022-12-17,358.245559211804
"Briar",2022-12-17,1301.40260799325
"Iona",2022-12-17,146.826757431352
"Koda",2022-12-17,362.532986992482
"Robin",2022-12-17,1300.3861984578
"Sage",2022-12-17,353.208534607634
"Nutmeg",2022-12-17,1302.68158199497
"Aurora",2022-12-18,360.214647681681
"Briar",2022-12-18,1293.34122712596
"Iona",2022-12-18,68.7939852325272
"Koda",2022-12-18,367.454495541638
"Robin",2022-12-18,1298.90166466761
"Sage",2022-12-18,357.686338046943
"Nutmeg",2022-12-18,1302.07748344227
"Aurora",2022-12-19,398.957763359057
"Briar",2022-12-19,1284.70889048796
"Iona",2022-12-19,65.5231145422587
"Koda",2022-12-19,398.136024071528
"Robin",2022-12-19,1285.00416876713
"Sage",2022-12-19,396.688187836889
"Nutmeg",2022-12-19,1287.94799178366
"Aurora",2022-12-20,1279.93391687667
"Briar",2022-12-20,1275.58058547853
"Iona",2022-12-20,64.1493105386722
"Koda",2022-12-20,643.067228283373
"Robin",2022-12-20,1292.33960311932
"Sage",2022-12-20,420.388112677082
"Nutmeg",2022-12-20,1277.85957661648
"Aurora",2022-12-21,1297.60133845696
"Briar",2022-12-21,1291.0629068838
"Iona",2022-12-21,67.0472125434539
"Koda",2022-12-21,656.014887831726
"Robin",2022-12-21,1291.46503348351
"Sage",2022-12-21,426.001064694501
"Nutmeg",2022-12-21,1288.58245470326
"Aurora",2022-12-22,1291.87539177061
"Briar",2022-12-22,1286.16481517171
"Iona",2022-12-22,58.2777614646707
"Koda",2022-12-22,808.251406239634
"Robin",2022-12-22,1282.16491769098
"Sage",2022-12-22,359.034909379947
"Nutmeg",2022-12-22,1289.13975709566
"Aurora",2022-12-23,1293.22024449587
"Briar",2022-12-23,1291.68859880713
"Iona",2022-12-23,64.3267907571595
"Koda",2022-12-23,391.549976842281
"Robin",2022-12-23,1280.52749941252
"Sage",2022-12-23,400.642922212021
"Nutmeg",2022-12-23,1295.93928681369
"Aurora",2022-12-24,1290.52003313672
"Briar",2022-12-24,1295.18460951325
"Iona",2022-12-24,63.6676605271388
"Koda",2022-12-24,528.163581775438
"Robin",2022-12-24,1293.01142168104
"Sage",2022-12-24,334.185519336127
"Nutmeg",2022-12-24,1299.15923508674
"Aurora",2022-12-25,1273.59981400371
"Briar",2022-12-25,1278.11447110097
"Iona",2022-12-25,59.5786609322906
"Koda",2022-12-25,505.305148283372
"Robin",2022-12-25,1282.28672333711
"Sage",2022-12-25,331.993710630697
"Nutmeg",2022-12-25,1287.76210825268
"Aurora",2022-12-26,1287.40442683472
"Briar",2022-12-26,1290.61714946398
"Iona",2022-12-26,62.0393944744981
"Koda",2022-12-26,509.391198878639
"Robin",2022-12-26,1289.64719246306
"Sage",2022-12-26,331.50474674057
"Nutmeg",2022-12-26,1289.22235321748
"Aurora",2022-12-27,1290.17375535979
"Briar",2022-12-27,1286.72546047327
"Iona",2022-12-27,71.3391358144506
"Koda",2022-12-27,656.670105403821
"Robin",2022-12-27,1280.33057234873
"Sage",2022-12-27,334.793301939653
"Nutmeg",2022-12-27,1282.88906343918
"Aurora",2022-12-28,1299.78022803186
"Briar",2022-12-28,1301.89058961202
"Iona",2022-12-28,65.8931918763163
"Koda",2022-12-28,546.953189302051
"Robin",2022-12-28,1303.24832441197
"Sage",2022-12-28,334.89681364449
"Nutmeg",2022-12-28,1310.17027037692
"Aurora",2022-12-29,1312.90630942757
"Briar",2022-12-29,1308.91408492739
"Iona",2022-12-29,68.5452600824306
"Koda",2022-12-29,520.07244193477
"Robin",2022-12-29,1307.9028294102
"Sage",2022-12-29,337.429780282258
"Nutmeg",2022-12-29,1313.61744672686
"Aurora",2022-12-30,1282.65920758309
"Briar",2022-12-30,1282.05101108037
"Iona",2022-12-30,65.9455183462508
"Koda",2022-12-30,591.594906367451
"Robin",2022-12-30,1286.80438583484
"Sage",2022-12-30,334.774798885781
"Nutmeg",2022-12-30,1289.26988635884
"Aurora",2022-12-31,1269.06135223514
"Briar",2022-12-31,1284.91850509175
"Iona",2022-12-31,64.8593433626297
"Koda",2022-12-31,510.62625768368
"Robin",2022-12-31,1268.30549077614
"Sage",2022-12-31,392.478752425907
"Nutmeg",2022-12-31,1277.39601714067
"Aurora",2023-01-01,1277.16923964469
"Briar",2023-01-01,1265.05284143805
"Iona",2023-01-01,62.5093269073061
"Koda",2023-01-01,381.026205068788
"Robin",2023-01-01,1271.81795032599
"Sage",2023-01-01,384.670934823808
"Nutmeg",2023-01-01,1272.48735468148
"Aurora",2023-01-02,1269.68672254592
"Briar",2023-01-02,1268.95627774343
"Iona",2023-01-02,63.6419194181319
"Koda",2023-01-02,426.634330783738
"Robin",2023-01-02,1280.30294805534
"Sage",2023-01-02,412.328288116072
"Nutmeg",2023-01-02,1272.27280815987
"Aurora",2023-01-03,1257.7410638116
"Briar",2023-01-03,1301.37966586832
"Iona",2023-01-03,37.0680667512623
"Koda",2023-01-03,416.58759251108
"Robin",2023-01-03,1304.26466529582
"Sage",2023-01-03,411.615938181918
"Nutmeg",2023-01-03,1309.74955543619
"Aurora",2023-01-04,1307.10479319622
"Briar",2023-01-04,1303.83348365639
"Iona",2023-01-04,65.4355558428918
"Koda",2023-01-04,443.406250500439
"Robin",2023-01-04,1310.63180703514
"Sage",2023-01-04,424.508996569544
"Nutmeg",2023-01-04,1310.83447414911
"Aurora",2023-01-05,1304.81643870037
"Briar",2023-01-05,1309.24813468932
"Iona",2023-01-05,84.7188128070447
"Koda",2023-01-05,508.863930515441
"Robin",2023-01-05,1309.50454889285
"Sage",2023-01-05,509.978744189509
"Nutmeg",2023-01-05,1298.1601305938
"Aurora",2023-01-06,1291.17879144013
"Briar",2023-01-06,1282.76806709615
"Iona",2023-01-06,64.7727289959758
"Koda",2023-01-06,480.764100060412
"Robin",2023-01-06,1290.97682473855
"Sage",2023-01-06,484.597403704146
"Nutmeg",2023-01-06,1288.45131420428
"Aurora",2023-01-07,1274.56116739399
"Briar",2023-01-07,1283.35046497901
"Iona",2023-01-07,68.4888577107458
"Koda",2023-01-07,415.569119592556
"Robin",2023-01-07,1281.7986409676
"Sage",2023-01-07,412.106329797924
"Nutmeg",2023-01-07,1277.29072377854
"Aurora",2023-01-08,1259.13042386868
"Briar",2023-01-08,1269.96138128899
"Iona",2023-01-08,61.9953354477427
"Koda",2023-01-08,410.124080229024
"Robin",2023-01-08,1259.36670649808
"Sage",2023-01-08,414.021557975958
"Nutmeg",2023-01-08,1259.59479912556
"Aurora",2023-01-09,1224.00196374335
"Briar",2023-01-09,1263.86506603169
"Iona",2023-01-09,65.391936021769
"Koda",2023-01-09,425.083071649721
"Robin",2023-01-09,1269.38154564241
"Sage",2023-01-09,422.016942673623
"Nutmeg",2023-01-09,1261.56253292549
"Aurora",2023-01-10,1261.96397580506
"Briar",2023-01-10,1273.95477955918
"Iona",2023-01-10,69.0448063735273
"Koda",2023-01-10,422.613436310605
"Robin",2023-01-10,1270.93302123066
"Sage",2023-01-10,423.795339533372
"Nutmeg",2023-01-10,1276.18815073549
"Aurora",2023-01-11,1279.15884345109
"Briar",2023-01-11,1273.0802379435
"Iona",2023-01-11,63.8566916222875
"Koda",2023-01-11,414.93576911293
"Robin",2023-01-11,1266.3240844113
"Sage",2023-01-11,415.470159099458
"Nutmeg",2023-01-11,1275.06879393174
"Aurora",2023-01-12,1280.87292802784
"Briar",2023-01-12,1280.25838455081
"Iona",2023-01-12,60.7940258745683
"Koda",2023-01-12,577.66305439155
"Robin",2023-01-12,1271.98702652941
"Sage",2023-01-12,538.071008925848
"Nutmeg",2023-01-12,1277.72869037219
"Aurora",2023-01-13,1280.63783611908
"Briar",2023-01-13,1270.93124880382
"Iona",2023-01-13,113.321540878563
"Koda",2023-01-13,508.138256973899
"Prem",2023-01-13,441.42535119459
"Robin",2023-01-13,1274.70009164398
"Sage",2023-01-13,501.31723996488
"Nutmeg",2023-01-13,1279.93237348838
"Aurora",2023-01-14,1305.02589866904
"Briar",2023-01-14,1294.99009165895
"Iona",2023-01-14,554.362217686143
"Koda",2023-01-14,476.357309899393
"Prem",2023-01-14,826.977841537259
"Robin",2023-01-14,1294.76607160243
"Rove",2023-01-14,545.920007020707
"Sage",2023-01-14,476.469150964222
